PMID ,PERSONS
PMID , 
20008478," R. Izs , A. Lapidus , M.P. Francino , S. Tringe , M. Youle , "
19965883, 
20007256, 
19965881, 
20031972," Adrienne Pollack , Paul , K.S. , "
19880370, 
19933165," Lakshminarayan Iyer , "
19910305," Sven Findei , Sharon Selzo , Kathy Tzeng , Deutsche Forschungsgemeinschaft , "
19914921, 
19933160," Hung Wong , Edward Mallinckrodt , "
19933166," Yong Guo , Daniel Haig , "
19933164," Battelle , "
19850757, 
19880371," Paul Kirk , "
19850753," Richard Lu , Frederic Breard , Max Kotlyar , Kevin R. Brown , "
19846438, 
19855106," Erik Sj , "
19880367," Dr Webb Miller , Huabin Hou , Gordon , "
19910308, 
19887508, 
19864262, 
19897564," Emilia Romagna , "
20513662," Rodger Staden , Robert Davies , Li Heng , "
20562415," Stephen Bentley , Nicholas Thomson , Heidi Hauser , Danielle Walker , "
20505002," Stephen Altschul , John Wilbur , Anna Panchenko , Mileidy Gonzalez , Eva Czabarka , "
20507895," Khalid Zuberi , Quentin Shao , Javier Diaz , "
20519284," Anne Niknejad , Emilie Person , "
20562416, 
20591907," Sylvia Richardson , David Balding , Mark Beaumont , Christian Robert , Scott Sisson , Justina Norkunaite , J.L. , P.K. , K.E. , C.B. , "
20505005," Kevin Livingston , "
20495000," J. Park , J.M. Cherry , E. Hong , J. Blake , D. Hill , Roth , G. Berriz , R. Deo , "
20513665," Loubna Akhabir , Scott Brown , Andrew Sandford , "
20472541," Dmitriy Ryaboy , Peter Alvaro , Perl , Daniel Klevebring , Magnus Bjursell , "
20472543," Francis Lim , Kurt McMillan , Yifeng Liu , Shannan Ho Sui , "
20457667, 
20472540," Javier Castellanos , Alex Slater , Tom , Norambuena , Manfred Sippl , Andrej Sali , M.S. Madhusudhan , "
20505001, 
20472542, 
20427516," Lothar Willmitzer , Frank Cordes , D.W. , "
20444836," Andrej Sali , Ben Webb , Mallur Madhusudhan , David Houldershaw , Derek Taylor , "
20472544," Eugene Koonin , Thomas Meier , "
20448139, 
20439257, 
20413634, 
20472546, 
20410051," Sergei Filichkin , Samuel Fox , Mark Dasenko , Steve Drake , Chris Sullivan , Scott Givan , "
20418340, 
20448138," Patrick Amar , "
20413635," Lisa N. Kinch , Jimin Pei , Jeremy Semeiks , Welch , "
20427518, 
None, 
20529894, 
20529895," Guillaume Dugas , Khalid Belkhir , "
20529896," Mike Steel , Yufeng Wu , Allan Wilson , S.K. , Regula Rupp , S.K. , "
20529897," Jacques Pecreaux , Horatiu Fantana , Nathan Clack , Hanchuan Peng , "
20529898," Nikos Poulakakis , Casey Dunn , Nicolas Salamin , Stephen A. Smith , Olaf Bininda-Emonds , Nick Pattengale , "
20529899," Simone Linz , "
20529900," Daoud Sie , Leonid V. Bystrykh , VICI , "
20529901, 
20529902," John Hogenesch , Gaihua Zhang , Wenying Xu , Yi Ling , Daofeng Li , Jingna Si , Fei , Tingyou Wang , "
20529903, 
20529904, 
20529905," Dr Fengyu Zhang , Dr Xiaofeng Zhu , "
20529906, 
None, 
20529908, 
20529909, 
20529910, 
20529911," N. Barkai , S. Gasser , Z. Itzhaki , T. Kaplan , P.D. Kaufman , O.J. Rando , A. Regev , M. Yassour , E. Yeger-Lotem , I. Wapinski , J.S. Weissman , S. Collins , N. Krogan , Eshkol , Rudin , H.M. , N.F. , "
20529912," Jorge Garcia , Erich Weiler , Alexander Wolfe , Victoria Lin , D.H. , "
20529913, 
20529914, 
20529915," Xianghong Jasmine Zhou , M.T. , Alfred P. Sloan Research , M.T. , "
20529916," Vijay Pande , Nina Singhal , D.H. , "
20529917," Michael Zuker , Ivo Hofacker , "
20529918," Matt Menke , Michael Baym , Noah Daniels , Charlie O , Donnell , "
20529919," Chang , Wong , "
20529920, 
20529921," Gunnar Schr , Marc Morais , Matthew Baker , Yao Cong , Steve Ludtke , Donghua Chen , Xiangan Liu , David Woolford , Junjie Zhang , "
20529922," Dr John McGee , Mats Rynge , "
20529923," Nicholas Schork , Dr. Vineet Bafna , "
20529924," Inmar Givoni , B. F. , "
20529925," Sheila Reynolds , "
20529926," Adrian Dalca , "
20529927," T. Brown , L. Brunner , H. Yaghoubi , "
20529928, 
20529929," Veli , Durbin , "
20529930," Chikashi Nobata , Rune Saetre , Nobuhiro Kikuchi , "
20529931," Tzumin Lee , Gerry Rubin , Julie Simpson , Benny Lam , Gene Myers , Ting Zhao , Jun Xie , Margaret Jefferies , "
20529932," Robert Leaman , "
20529933," I.H. , Arto Klami , Multibio , S.K. , "
20529934," Dr Wilhelm Haas , Dr Henry H.N. Lam , Dr Stephen E. Stein , "
None, 
20529936," Fan Guo , Alfred P. Sloan Fellowship , "
20529937," Mitya Chklovskii , Johannes Schindelin , "
20529938," Wong , Lichtman , Ting Tsung , Wong , "
20529939," Ghislain Bonami , Sumit Chanda , Daniel Rines , "
20529940, 
20529941," Tomas M. Asbury , Elizabeth G. Hill , John H. Schwacke , Kellie J. Sims , Alan Wilder , Yusuf Hannun , "
20529942," Fabian , Marcel Hanke , Atif Iqbal , Amina Abdulla , David Hill , Midori Harris , Robert Stevens , Simon Jupp , Rainer Winnenburg , Christof Winter , Anne Tukkannen , Alexander Mestiashvili , "
20529943, 
20472545," Wayne Fisher , Linda Gunn , "
20435580, 
20400455, 
20375113," Toby Johnson , "
20453003, 
20130035, 
20110278," Royden Clark , "
20106815," Marija Buljan , Stephen Pettitt , "
20106818," Harris Procopiou , Gregory Loichot , Nathalie Lachenal , "
20080505," Zemin Ning , Kimmo Palin , "
20130034, 
20080507, 
